,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.7825098,0.836278,0.6844222,0.6662728,0.8122297,0.8151696,0.8348583,0.8265654,0.8640009,0.72841996
Elizabeth,0.7221326,0.7536096,0.67274773,0.59884906,0.7484945,0.7175946,0.76932216,0.7978536,0.7654675,0.6813552
Patricia,0.7861744,0.7849232,0.7109454,0.6411538,0.7817193,0.76265764,0.8111335,0.8177942,0.8066359,0.73276174
Jennifer,0.77813876,0.79776204,0.676552,0.6357391,0.8271568,0.7724623,0.7866371,0.82661206,0.8249528,0.73596406
Linda,0.77788705,0.78481746,0.703568,0.64004195,0.7862324,0.77096176,0.8200527,0.8093352,0.80221766,0.7400031
Barbara,0.7371669,0.7393548,0.67378336,0.60993814,0.75082827,0.72680897,0.76593006,0.7832112,0.7559353,0.70593154
Margaret,0.6710284,0.6803671,0.645824,0.5749975,0.69151485,0.6753621,0.7148421,0.7320019,0.6932862,0.6560087
Susan,0.77054846,0.80996406,0.681335,0.6302683,0.8140163,0.7797058,0.78860635,0.8207674,0.8177599,0.7200839
Dorothy,0.74345845,0.76301324,0.6662644,0.61712354,0.76324356,0.74467194,0.77624214,0.79821026,0.7771404,0.69475263
Sarah,0.7995677,0.8263418,0.689817,0.66446936,0.818003,0.8034135,0.81677043,0.8122973,0.8444159,0.748876
Jessica,0.78443015,0.82118976,0.6770216,0.6484338,0.82271636,0.79828537,0.7930616,0.8034878,0.8479706,0.73279655
Helen,0.7806759,0.8163087,0.67599666,0.63001806,0.81098545,0.7938163,0.81370276,0.80959404,0.8381881,0.73780346
Nancy,0.7986741,0.81729984,0.6906623,0.63981247,0.8197032,0.7913129,0.8253754,0.837499,0.83733034,0.739117
Betty,0.83238876,0.8337184,0.71209455,0.68262666,0.8154199,0.8252221,0.85382915,0.8110675,0.856264,0.7667573
Karen,0.75901103,0.7778809,0.6517162,0.6553141,0.80088615,0.7754079,0.76780546,0.79005986,0.8208482,0.71820915
Lisa,0.8095834,0.8231983,0.68780565,0.6531983,0.8178772,0.803152,0.8194177,0.81488043,0.85674715,0.7404501
Anna,0.7415314,0.74762547,0.6506835,0.6167164,0.7681607,0.7457082,0.7397141,0.75494426,0.76624835,0.7070206
Sandra,0.72884446,0.74261117,0.64368874,0.6264523,0.75101817,0.717034,0.7261568,0.75185865,0.7611062,0.6732204
Emily,0.6755394,0.6383162,0.61338365,0.5994569,0.7017907,0.6679031,0.62602484,0.6724601,0.68731266,0.66818154
Ashley,0.7757733,0.79253674,0.69166636,0.62687147,0.8144775,0.7805545,0.7822,0.7846082,0.8128283,0.74154705
