,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.7369815,0.5975717,0.5921208,0.74150836,0.6772835,0.75487494,0.7335309,0.5568377,0.62617743,0.7746366
John,0.72285724,0.58623576,0.5939708,0.7326323,0.6622951,0.7484323,0.71396625,0.5427933,0.61424136,0.7651122
Robert,0.7519707,0.60486805,0.58382493,0.744933,0.68406695,0.7571113,0.7403748,0.544597,0.63861924,0.787882
Michael,0.7538581,0.624632,0.60162675,0.75394917,0.6882126,0.768309,0.75277597,0.5776315,0.63567203,0.7959798
William,0.7263768,0.5756133,0.5725689,0.74382365,0.66127855,0.73404634,0.70451856,0.52332795,0.5979038,0.77438736
David,0.7420939,0.59535015,0.5840672,0.7361135,0.6801871,0.75137204,0.7530045,0.56751287,0.6337807,0.7833081
Joseph,0.7433773,0.6543237,0.63487256,0.76738596,0.716107,0.7575087,0.75925666,0.5936029,0.67722464,0.7760295
Richard,0.74741936,0.58530915,0.5766705,0.74401414,0.6784205,0.7457367,0.732114,0.53968924,0.62833184,0.7853814
Charles,0.71491665,0.6244042,0.607712,0.75583506,0.6790825,0.7453232,0.7264778,0.5676658,0.6397544,0.7668723
Thomas,0.75805753,0.60584646,0.59731376,0.75788796,0.69281614,0.7760716,0.7576354,0.56390953,0.6327007,0.7932764
Christopher,0.7687961,0.63031083,0.6138636,0.74870706,0.7115103,0.7788677,0.7632579,0.60428095,0.68015426,0.768994
Daniel,0.74279773,0.6114028,0.600216,0.74256015,0.69084716,0.7343147,0.75834095,0.57779515,0.65221125,0.76405394
Matthew,0.71873206,0.5718386,0.57258606,0.7254396,0.6702559,0.72452754,0.72167736,0.56095046,0.61221325,0.76111597
George,0.6876427,0.6079557,0.59393305,0.73385274,0.65790784,0.7287029,0.70117754,0.5636927,0.6131095,0.74257576
Anthony,0.7455659,0.6430472,0.61361927,0.7506755,0.6882623,0.77330285,0.7562167,0.57843983,0.64830256,0.7817025
Donald,0.73236763,0.60017693,0.58602834,0.73199934,0.6650683,0.75514853,0.7236122,0.54378825,0.63128537,0.76965445
Paul,0.7522775,0.64426166,0.60237974,0.75998926,0.6887498,0.77230954,0.7537187,0.5815128,0.65606785,0.7894974
Mark,0.7122158,0.5706415,0.57129055,0.70469254,0.6453656,0.710535,0.70248723,0.5468447,0.62606776,0.74861133
Andrew,0.7499244,0.63767636,0.61158794,0.76541466,0.69749403,0.7732041,0.76529783,0.5971923,0.6517338,0.78555846
Edward,0.73797816,0.61087865,0.6120956,0.75765157,0.69527626,0.7469959,0.75049984,0.5693649,0.6429659,0.77257687
