,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.54180634,0.5330285,0.5051122,0.62433016,0.5808487,0.46436766,0.61668205,0.606143,0.5071865,0.58026946
John,0.5940559,0.5544346,0.438125,0.62938607,0.60199434,0.5216193,0.6185894,0.5775952,0.53274345,0.5830462
Robert,0.5584842,0.5620663,0.48434916,0.62114966,0.5857289,0.48019096,0.64875805,0.61618483,0.5482707,0.5855447
Michael,0.5434604,0.5596661,0.44447547,0.6185558,0.5698445,0.49323305,0.6047497,0.5715279,0.5192945,0.5779227
William,0.55341566,0.5416694,0.5167618,0.5941658,0.5794062,0.49236685,0.5900067,0.5908855,0.5445318,0.62588656
David,0.5404993,0.5386526,0.44532496,0.5930505,0.57046854,0.51375985,0.5905149,0.582163,0.56468356,0.580446
Joseph,0.5243825,0.53055316,0.47245073,0.60434806,0.5715102,0.4724,0.63965636,0.596094,0.51644254,0.5386292
Richard,0.556361,0.56070405,0.48740613,0.58383876,0.5951522,0.5028898,0.61987364,0.6286812,0.5466763,0.6101358
Charles,0.5083345,0.5379002,0.4831365,0.57650703,0.5353273,0.47389984,0.62731993,0.57957566,0.4947494,0.5319527
Thomas,0.57601416,0.5544406,0.48723784,0.6405003,0.593088,0.5258189,0.6277101,0.60494804,0.5708374,0.6208571
Christopher,0.54448986,0.55649805,0.46265852,0.62446713,0.62356997,0.5188955,0.6521843,0.6296202,0.5602094,0.58758146
Daniel,0.55376035,0.5552714,0.43150377,0.6099044,0.57825166,0.5062746,0.5754634,0.5776813,0.5228981,0.568534
Matthew,0.5446011,0.51267743,0.48218375,0.61061704,0.59655666,0.46392554,0.63122946,0.5815526,0.49603793,0.58280903
George,0.5270516,0.54945093,0.47089288,0.57035923,0.58508646,0.5171459,0.5964393,0.62893474,0.5424768,0.6133364
Anthony,0.5007339,0.5596471,0.4709855,0.5642257,0.5695518,0.48511198,0.60025585,0.60532963,0.52739525,0.5998863
Donald,0.53527975,0.5090796,0.4463812,0.57078004,0.5323186,0.46769446,0.52533436,0.5628952,0.49611586,0.531936
Paul,0.55632657,0.5661535,0.42117214,0.63410556,0.58051956,0.4850585,0.6438942,0.58463097,0.50712717,0.55428576
Mark,0.5326929,0.5771512,0.47414094,0.5932755,0.5931357,0.5052446,0.5982251,0.5766493,0.5334382,0.5497886
Andrew,0.5444869,0.5447631,0.48011577,0.62043524,0.6075391,0.48086584,0.62337893,0.58750975,0.5360595,0.6170181
Edward,0.5604911,0.60352445,0.46400166,0.58426815,0.5948853,0.52852285,0.6042612,0.5814775,0.5470005,0.58738565
