,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.5069243,0.53923595,0.51369137,0.56361264,0.5457235,0.49514365,0.5781063,0.63655114,0.51473206,0.58055556
Elizabeth,0.4686736,0.48311648,0.4454735,0.45705116,0.4940507,0.47220775,0.50255084,0.51726234,0.43800658,0.5403667
Patricia,0.54450226,0.5706098,0.49734432,0.5739499,0.56465805,0.46980745,0.5872842,0.58199,0.52660704,0.56949425
Jennifer,0.5315107,0.5495298,0.3943996,0.5960648,0.572354,0.54597473,0.57070017,0.58493984,0.5309647,0.56417817
Linda,0.5297056,0.5701337,0.39081466,0.59704894,0.5659031,0.52753997,0.5532079,0.5925777,0.5490629,0.5222033
Barbara,0.50555354,0.5733013,0.47379822,0.5724609,0.56548965,0.48747718,0.55984354,0.6197591,0.53605175,0.5680913
Margaret,0.50356936,0.5283668,0.52402264,0.5192256,0.53999794,0.51706266,0.5810481,0.5765353,0.54978937,0.53593564
Susan,0.52869034,0.55542207,0.4713923,0.60203373,0.58353925,0.50309515,0.59637296,0.6221672,0.53255993,0.58618903
Dorothy,0.487112,0.54799414,0.4542909,0.55165803,0.532336,0.49384397,0.57659835,0.5982399,0.53545725,0.54120153
Sarah,0.5260385,0.5573226,0.46856007,0.5833955,0.59216404,0.49808818,0.5659589,0.5723506,0.55398905,0.55446535
Jessica,0.50079167,0.53367037,0.40032983,0.56891716,0.5773198,0.424166,0.5608914,0.5450718,0.47372139,0.5298058
Helen,0.48520076,0.5587731,0.4943797,0.59452236,0.6172333,0.5067022,0.6696413,0.63917446,0.5626979,0.56874454
Nancy,0.51625115,0.55572784,0.4536854,0.5957247,0.56829333,0.4569568,0.60340106,0.58179164,0.53167534,0.5231415
Betty,0.5167252,0.52598304,0.43810737,0.57149893,0.55017376,0.50291663,0.5659953,0.6074868,0.5340855,0.5373755
Karen,0.50393593,0.5221697,0.39070648,0.5403592,0.54991335,0.4293023,0.53533846,0.5806701,0.4964496,0.56816083
Lisa,0.50625664,0.5505059,0.391212,0.5818055,0.5457852,0.48571244,0.5470239,0.55825347,0.51835084,0.5157182
Anna,0.5729035,0.574547,0.43330905,0.5554427,0.55333084,0.4960582,0.55575705,0.5774429,0.5092312,0.6116731
Sandra,0.6042892,0.55726993,0.47163644,0.61204904,0.6136073,0.5235847,0.60197645,0.60088444,0.5550629,0.57253444
Emily,0.52269655,0.5646775,0.5148853,0.54715705,0.59528303,0.48777893,0.6090523,0.63342804,0.5442866,0.5683345
Ashley,0.48384076,0.5112854,0.4646283,0.5310931,0.5292491,0.4556612,0.55479455,0.55656326,0.5088055,0.5139406
