,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.59215844,0.51985806,0.5794836,0.51439834,0.5563021,0.5444561,0.61602384,0.51586837,0.5974325,0.63235164
Elizabeth,0.5007043,0.47087455,0.51217824,0.480943,0.48636734,0.4915945,0.54880804,0.4399562,0.5084502,0.5244927
Patricia,0.53739727,0.49540743,0.63121283,0.54916906,0.5530753,0.46813256,0.58672976,0.5198954,0.5567552,0.60497516
Jennifer,0.6061655,0.4347879,0.60412586,0.5383119,0.5242228,0.51897025,0.5589,0.42270094,0.6291996,0.6592586
Linda,0.6126963,0.4348038,0.60140646,0.5401428,0.52955663,0.48863465,0.5386419,0.4418047,0.60640883,0.644768
Barbara,0.56305003,0.48229665,0.6014689,0.55095446,0.54894555,0.47827017,0.5535289,0.48444542,0.52457523,0.65037024
Margaret,0.5547969,0.5210269,0.55976593,0.5157084,0.53459454,0.49376416,0.6105541,0.5162164,0.52283645,0.56628627
Susan,0.6030588,0.5359697,0.60075325,0.5417237,0.51394904,0.5216487,0.60551107,0.5197296,0.5597245,0.62535745
Dorothy,0.5720321,0.4806705,0.54731923,0.49534753,0.5259095,0.4757749,0.54903066,0.49072194,0.53402674,0.59513927
Sarah,0.5741125,0.5050969,0.58925307,0.52231216,0.54362893,0.5186892,0.57898057,0.48239857,0.5731932,0.6320802
Jessica,0.59234613,0.45054743,0.5813453,0.52110803,0.49233064,0.49158937,0.5140338,0.44632733,0.54706395,0.65353733
Helen,0.61997736,0.53922606,0.58906734,0.57662785,0.5521902,0.548324,0.6073214,0.5211911,0.6050775,0.6802218
Nancy,0.49298114,0.48849815,0.59685266,0.5644874,0.52555346,0.46806127,0.57720935,0.48094362,0.529683,0.59070563
Betty,0.5781161,0.4462246,0.5855891,0.51188064,0.519904,0.47694606,0.5848148,0.4413906,0.52577627,0.6448357
Karen,0.52125394,0.4358123,0.58011717,0.4893697,0.48583418,0.44111365,0.5304253,0.4377252,0.52826184,0.61087084
Lisa,0.6351025,0.425474,0.5706437,0.49287444,0.53694713,0.4942552,0.5390587,0.41131228,0.5907074,0.6464189
Anna,0.5581043,0.47956064,0.61635655,0.54760265,0.5102599,0.49509957,0.55711305,0.4612311,0.5324503,0.6041492
Sandra,0.5423995,0.45797154,0.61773777,0.5556159,0.62857115,0.4784521,0.56756115,0.46515787,0.5512499,0.6256782
Emily,0.625847,0.5219063,0.588965,0.53990686,0.5411719,0.533589,0.6112859,0.5495862,0.5974111,0.6752309
Ashley,0.5973116,0.50311375,0.55080324,0.51057327,0.5220006,0.5066843,0.58136487,0.512388,0.5740744,0.6459626
