,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.9680222,0.96810734,0.9670202,0.96704286,0.9684973,0.96524787,0.9668551,0.99500203,0.9672433,0.96699864
John,0.9689073,0.969759,0.96727467,0.9685175,0.96996737,0.96514904,0.967153,0.99421495,0.96920913,0.96828234
Robert,0.9967734,0.99428046,0.99918735,0.99592036,0.99609935,0.9985265,0.9992774,0.9682897,0.9928534,0.9954638
Michael,0.99692124,0.99667597,0.9946975,0.996304,0.9970778,0.9922546,0.99481654,0.97186714,0.9950992,0.99680525
William,0.99719393,0.99599564,0.9956294,0.9966063,0.9969087,0.99340117,0.9957519,0.9728385,0.99535507,0.996707
David,0.97435504,0.9758691,0.9728241,0.9740354,0.97503394,0.97075623,0.9728106,0.9930381,0.9749006,0.9733666
Joseph,0.9693938,0.9697031,0.9678681,0.96860003,0.9696118,0.9656697,0.9673306,0.99390036,0.9685139,0.96718943
Richard,0.9971648,0.99548143,0.99571514,0.9963805,0.996919,0.99348086,0.9957549,0.97048247,0.9943267,0.9966619
Charles,0.9613819,0.96003115,0.96407056,0.9602898,0.96135104,0.9639415,0.96436083,0.9903057,0.9589394,0.9594145
Thomas,0.99809176,0.99563813,0.9975556,0.9968345,0.9972305,0.99565196,0.9973941,0.9700151,0.9941845,0.99666965
Mary,0.99721444,0.9957741,0.99555016,0.9963276,0.9970136,0.9931695,0.99562687,0.97046226,0.99462074,0.9970813
Elizabeth,0.9975031,0.9953474,0.9964389,0.9967978,0.99648625,0.99413484,0.9964317,0.9688902,0.9941063,0.9967984
Patricia,0.9973259,0.9962944,0.99551564,0.99635,0.9967865,0.9931551,0.9954163,0.9711734,0.99410045,0.9964536
Jennifer,0.998061,0.9965247,0.99632317,0.9974915,0.99731094,0.993985,0.9964788,0.96999943,0.99446374,0.9971
Linda,0.9977648,0.99650276,0.9956978,0.99704695,0.99765563,0.99336475,0.9959732,0.9703438,0.99531156,0.9974978
Barbara,0.9977093,0.9958603,0.9964806,0.9972223,0.9974822,0.99438566,0.9965278,0.97018677,0.9937781,0.9964566
Margaret,0.9982628,0.99627095,0.99710155,0.99707043,0.9975825,0.99504286,0.99714184,0.9711351,0.9950547,0.9973686
Susan,0.9963648,0.99411297,0.9991019,0.99540913,0.9957905,0.99867207,0.99913776,0.96822244,0.9924089,0.99490285
Sarah,0.9978037,0.995982,0.99620414,0.99709535,0.9968948,0.9938072,0.9962218,0.9695683,0.9941761,0.9972018
Jessica,0.9959116,0.9932315,0.99915034,0.995038,0.99524087,0.9990647,0.9991063,0.96767974,0.9917577,0.9943664
