,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.7458012,0.66099846,0.7445649,0.61566067,0.80576974,0.59671533,0.7959501,0.73821807,0.71117514,0.7506868
John,0.7013825,0.66022855,0.71524036,0.656073,0.75462484,0.5786078,0.75631416,0.725424,0.67282075,0.7206057
Robert,0.736228,0.6616839,0.73306084,0.62393486,0.7922348,0.5771167,0.7937008,0.76594174,0.6899502,0.7411617
Michael,0.7780458,0.6651221,0.757903,0.6219343,0.8303863,0.5914757,0.816797,0.7539433,0.72646487,0.7821064
William,0.7158682,0.6706772,0.7363744,0.61885905,0.7888043,0.5843815,0.79076415,0.74883413,0.6670238,0.7483485
David,0.7484342,0.6409106,0.721791,0.59656405,0.7889304,0.57649755,0.78284764,0.7275063,0.69865245,0.7405313
Joseph,0.73958105,0.67184746,0.7193622,0.59293586,0.7863188,0.58224475,0.78697574,0.7497709,0.6961036,0.73008126
Richard,0.73050237,0.6643365,0.7256199,0.6302408,0.77977824,0.58798873,0.7740593,0.7413185,0.68346703,0.72389936
Charles,0.7178494,0.69163215,0.7295072,0.64872134,0.7757965,0.58186436,0.7817856,0.73351324,0.691434,0.73021036
Thomas,0.7419317,0.6638537,0.7413605,0.62555194,0.8044013,0.57636905,0.7992962,0.7520985,0.6959473,0.7539036
Mary,0.76142925,0.65481585,0.74854624,0.59788686,0.81854445,0.63829154,0.8257452,0.72458863,0.7337834,0.76509196
Elizabeth,0.70366925,0.6498141,0.7146913,0.62912446,0.7501836,0.58411074,0.7567283,0.7132647,0.67092466,0.6997692
Patricia,0.7455773,0.6875378,0.76333934,0.64064217,0.8002701,0.6031967,0.7906364,0.7438798,0.69148874,0.75550956
Jennifer,0.7815657,0.6408846,0.747535,0.5784646,0.83156997,0.591445,0.814139,0.7086364,0.7321647,0.76533675
Linda,0.7567071,0.6884967,0.7464671,0.63881576,0.8043293,0.5839839,0.80376124,0.73010683,0.6930587,0.77203214
Barbara,0.7137083,0.65761536,0.71379465,0.63416374,0.7505011,0.5750184,0.75892913,0.7047143,0.66941625,0.72376037
Margaret,0.64987314,0.6521498,0.67963386,0.6438497,0.67755854,0.56529176,0.70076585,0.6730692,0.63802767,0.65132225
Susan,0.77441776,0.6617334,0.7549906,0.60286325,0.8170108,0.5878464,0.8054738,0.7173876,0.73776484,0.7615755
Sarah,0.79105735,0.6523365,0.74705803,0.596671,0.8343951,0.62011635,0.81433386,0.71564853,0.7347183,0.7902589
Jessica,0.78857064,0.63351965,0.7359887,0.56535697,0.8427073,0.5856029,0.8093103,0.70391357,0.73610044,0.78346926
