,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.64419436,0.7778624,0.68222,0.77293396,0.7161552,0.8134177,0.6958461,0.7484586,0.7910239,0.7398618
Elizabeth,0.67675996,0.7875821,0.6899765,0.7809629,0.7391047,0.82039046,0.72070754,0.7630017,0.7934201,0.7591802
Patricia,0.673042,0.7302436,0.6608698,0.7118666,0.70531356,0.740946,0.6690723,0.69087076,0.7429317,0.7138828
Jennifer,0.59206235,0.7520095,0.63649666,0.74536526,0.68583477,0.7564058,0.6522547,0.73072314,0.7668702,0.7111818
Linda,0.73742497,0.7496042,0.68951875,0.7219922,0.7459519,0.77107143,0.71132624,0.7372391,0.75959814,0.7698296
Barbara,0.6944107,0.8037448,0.7036253,0.78161776,0.77410364,0.8284236,0.7361297,0.77659243,0.80314445,0.77247345
Margaret,0.66328025,0.7808827,0.69460905,0.77577895,0.7263011,0.82421196,0.7187108,0.758672,0.79672456,0.7602191
Susan,0.66748583,0.6983646,0.63687205,0.69088566,0.68793476,0.7456796,0.68034923,0.6628084,0.7114562,0.7064327
Dorothy,0.6861635,0.7756244,0.69374305,0.76525176,0.7326305,0.83470273,0.7187563,0.75554806,0.7895007,0.7654263
Sarah,0.6837049,0.7816533,0.6994021,0.7744605,0.745757,0.8271004,0.73831344,0.75648016,0.79344165,0.7800132
Jessica,0.68461215,0.78451955,0.6916776,0.7747099,0.74207735,0.82459563,0.7412567,0.7717527,0.7856847,0.78882647
Helen,0.662675,0.7737653,0.6873636,0.7661971,0.7298367,0.83175296,0.7188723,0.7474258,0.78508925,0.7552067
Nancy,0.65067077,0.7981954,0.698138,0.7934254,0.7227577,0.8173324,0.6897734,0.75503004,0.797528,0.7524799
Betty,0.66466594,0.7922469,0.70666903,0.77842665,0.7407887,0.8457161,0.72881263,0.771489,0.7990961,0.7820438
Karen,0.6628177,0.7695591,0.6862037,0.75179255,0.7183875,0.80920005,0.68694454,0.7367076,0.7698808,0.7320286
Lisa,0.6668037,0.7774689,0.68363285,0.7679757,0.72639334,0.8117093,0.71803325,0.7489728,0.79199064,0.76039946
Anna,0.6894862,0.7789575,0.66506445,0.7637681,0.73342884,0.7829525,0.68987924,0.73778903,0.7610071,0.734202
Sandra,0.6764358,0.6939461,0.61892927,0.66256106,0.72155327,0.7201003,0.6642753,0.65816295,0.6911664,0.6884443
Emily,0.6498966,0.775617,0.70342,0.7717314,0.71573395,0.82705045,0.70997334,0.7532836,0.7930037,0.7649382
Ashley,0.675341,0.7935126,0.7007812,0.7797638,0.7253263,0.8238665,0.71845937,0.7673142,0.79914904,0.769503
