,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.7724118,0.8874496,0.9144498,0.8182267,0.9154945,0.91819465,0.92286813,0.87784433,0.9213349,0.894519
Elizabeth,0.7914065,0.87891686,0.8888477,0.8260982,0.9011875,0.9033483,0.9023591,0.8661127,0.9001005,0.88500303
Patricia,0.8245769,0.8055432,0.82885695,0.7393087,0.8420541,0.8448467,0.8368781,0.8164466,0.8155716,0.81448084
Jennifer,0.71924967,0.84570146,0.8528292,0.79578227,0.86507744,0.86101437,0.8644577,0.83542776,0.8552462,0.8627146
Linda,0.80501,0.8173143,0.83203113,0.7697834,0.853452,0.85556686,0.8447401,0.81558096,0.8536746,0.8524382
Barbara,0.79751474,0.8769881,0.9026655,0.84750885,0.90879214,0.9152532,0.91243005,0.8755301,0.9152955,0.9014151
Margaret,0.79302824,0.8937515,0.90787697,0.81659865,0.92070615,0.92212117,0.9201191,0.88373685,0.9158668,0.8943159
Susan,0.83204347,0.7782549,0.80552626,0.7000177,0.8218354,0.8206657,0.81533456,0.78194684,0.8058777,0.7987689
Dorothy,0.8168929,0.8847786,0.889745,0.8098956,0.90957856,0.90468067,0.9126285,0.87277484,0.9093286,0.8923042
Sarah,0.81553775,0.8838551,0.89909333,0.8269375,0.91834605,0.9229592,0.9076981,0.8814146,0.9085957,0.90727806
Jessica,0.798187,0.87695575,0.88714963,0.83898044,0.9063539,0.9156022,0.89804345,0.8703133,0.9077087,0.9065446
Helen,0.78719455,0.89102775,0.9107683,0.82655823,0.9240781,0.91949034,0.92851007,0.88344973,0.9234283,0.90734375
Nancy,0.7672874,0.89476436,0.90997785,0.8202388,0.92307943,0.9131112,0.92000616,0.8880439,0.912008,0.9014307
Betty,0.8063146,0.8934459,0.9096641,0.8477595,0.9305507,0.9308592,0.9301261,0.8867525,0.93342483,0.92122424
Karen,0.7611687,0.86650157,0.89895767,0.8275891,0.90099955,0.9000174,0.8988285,0.8706032,0.8996357,0.882858
Lisa,0.76746047,0.8644669,0.88373154,0.83413184,0.9008069,0.9041226,0.8982918,0.8571086,0.9061013,0.8967185
Anna,0.7630081,0.8574139,0.8763539,0.80568904,0.8773327,0.8814142,0.8818742,0.84600836,0.88151175,0.87881774
Sandra,0.81136835,0.7442163,0.7830485,0.71197486,0.7917452,0.80893904,0.78336483,0.7535647,0.78972244,0.7804053
Emily,0.7708162,0.8905394,0.9038143,0.8336877,0.9239045,0.9154815,0.9195255,0.88506377,0.91725814,0.9047255
Ashley,0.7989745,0.8820952,0.8980714,0.8215006,0.9147228,0.9192531,0.909382,0.8766559,0.91523933,0.9078586
