,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.950052,0.85883147,0.8623915,0.92505014,0.88155884,0.9063067,0.87510467,0.8905456,0.88761383,0.89736736
John,0.95247984,0.8663894,0.8702163,0.92960626,0.8889471,0.9122704,0.88265693,0.8933061,0.89458525,0.90478015
Robert,0.9580733,0.87704116,0.87945926,0.93744624,0.89719594,0.9199742,0.88987386,0.8991643,0.90392554,0.91415703
Michael,0.94707704,0.8640921,0.8665529,0.9216752,0.8848574,0.90938663,0.8796595,0.89098763,0.89014053,0.8989047
William,0.9774418,0.91588295,0.9205233,0.97131383,0.93451726,0.9197991,0.9207058,0.8954867,0.9488694,0.95791554
David,0.9407029,0.8552195,0.85818356,0.91260374,0.8772645,0.9086169,0.87345237,0.8861613,0.8825942,0.88979554
Joseph,0.9566086,0.8767494,0.8813472,0.9371421,0.89900315,0.91870934,0.8903397,0.89478385,0.9048482,0.9152619
Richard,0.97098386,0.89423704,0.8968951,0.9528456,0.91435033,0.9217366,0.9053623,0.899897,0.9241476,0.9332524
Charles,0.9595844,0.8748711,0.8782805,0.9377143,0.89755523,0.91709435,0.89019865,0.89642555,0.90463334,0.913345
Thomas,0.9481549,0.8570331,0.8590117,0.919206,0.8791455,0.90920347,0.8760823,0.89445233,0.8829474,0.8929863
Mary,0.9511098,0.868435,0.8716683,0.9272408,0.8911122,0.91306555,0.8838703,0.8913649,0.89865935,0.90588874
Elizabeth,0.96619856,0.8917717,0.8969016,0.9528675,0.91320723,0.91507995,0.9017036,0.8938887,0.9267395,0.9338981
Patricia,0.8959669,0.94561833,0.9535138,0.92997044,0.95276946,0.879491,0.9199834,0.85901135,0.94796085,0.9491133
Jennifer,0.96316034,0.94042975,0.94556695,0.9818404,0.9532763,0.89432544,0.92749333,0.8717046,0.9829854,0.98655117
Linda,0.9150921,0.95140743,0.96397847,0.9418767,0.96226436,0.9059124,0.9377157,0.88155353,0.9512572,0.9528773
Barbara,0.90219617,0.9516399,0.9565375,0.9328566,0.9580025,0.89386094,0.9336024,0.87229145,0.9464356,0.9488151
Margaret,0.93047744,0.93264556,0.93526024,0.9250301,0.94437057,0.9437756,0.9469589,0.92714214,0.9130697,0.9189326
Susan,0.974907,0.93460417,0.93850565,0.9806486,0.9500313,0.90871626,0.93002164,0.8843882,0.9735901,0.97926205
Sarah,0.94464266,0.85882235,0.8632608,0.91810775,0.8832441,0.9013865,0.87823766,0.88104063,0.8908519,0.89878947
Jessica,0.9665983,0.89038813,0.8956529,0.9492733,0.9125153,0.90992606,0.90188617,0.88694274,0.92671806,0.9343812
